Nigguelius;21;1;40;12;50;8;1;2;3;1500;1548;1500;1500;1500;1500;1548;1500;1500;1500;1500;1500
Dr. Livesey;7;0;0;5;5;0;0;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
GC;1;0;0;0;0;0;0;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
SAKK;2946;319;4622;980;5700;853;331;376;312;1753;1664;1450;1500;1338;2013;1746;1494;1500;1512;1500;1500
Kirameki;1;1;0;0;0;0;0;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
reformed&determined;10;0;18;2;16;2;2;0;0;1317;1500;1500;1500;1500;1317;1500;1500;1500;1500;1500;1500
Krabed;51;2;55;9;100;15;4;0;4;1275;1423;1500;1500;1500;1297;1472;1500;1500;1500;1500;1500
belluci;3;0;0;0;0;0;0;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
RC;37;0;13;6;30;2;1;0;0;1201;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
Jobber`;1;0;0;0;0;0;0;0;0;1524;1500;1500;1500;1500;1524;1500;1500;1500;1500;1500;1500
MotoBugger;3206;478;7879;1106;7237;1295;412;462;467;1896;1806;1869;1500;1549;2089;1931;1869;1500;1671;1500;1500
Player 6;0;0;0;0;0;0;0;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
sex;23;1;59;12;53;11;6;2;1;1500;1556;1500;1500;1500;1500;1556;1500;1500;1500;1500;1500
Nignog;1;0;0;0;3;0;0;0;0;1500;1455;1500;1500;1500;1500;1455;1500;1500;1500;1500;1500
Vector's lil bro;13;2;30;5;29;4;4;0;0;1589;1500;1500;1500;1500;1720;1500;1500;1500;1500;1500;1500
Gumby;19;0;21;8;35;5;2;0;0;1500;1070;1500;1500;1500;1500;1070;1500;1500;1500;1500;1500
CHAIR;5;0;0;4;9;1;0;0;0;1386;1500;1500;1500;1500;1386;1500;1500;1500;1500;1500;1500
Nakadashi Daisuki;3;0;1;0;0;0;0;0;0;1472;1490;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
Fuggyu;88;24;365;17;233;51;7;11;11;2061;1500;1553;1500;1500;2061;1500;1553;1500;1500;1500;1500
Octolat;20;0;19;3;41;11;2;0;0;1111;1373;1500;1500;1500;1111;1373;1500;1500;1500;1500;1500
KilThysel;1;0;8;0;4;3;0;0;1;1617;1500;1500;1500;1500;1617;1500;1500;1500;1500;1500;1500
NO CHAO GARDEN;51;16;200;25;164;40;9;7;4;1609;1775;1580;1500;1500;1609;1775;1580;1500;1500;1500;1500
daichinjk;1;0;1;0;0;0;0;0;0;1463;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
Steadman;8;0;7;2;8;5;0;0;0;1413;1456;1500;1500;1500;1413;1456;1500;1500;1500;1500;1500
dood;90;2;198;30;195;43;19;3;4;1508;1427;1500;1500;1500;1508;1427;1500;1500;1500;1500;1500
NIGGERSNIGGERSNIGGERS;11;0;12;10;20;2;2;0;0;1500;1197;1500;1500;1500;1500;1197;1500;1500;1500;1500;1500
Tailswda;1;0;0;0;1;0;0;0;0;1462;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
NITRO;76;17;190;24;163;19;9;7;16;1980;1500;1500;1500;1500;2013;1500;1500;1500;1500;1500;1500
SumNerd;41;0;16;6;40;9;2;0;0;1500;1095;1434;1500;1500;1500;1095;1434;1500;1500;1500;1500
Soggins;29;0;124;13;102;22;7;4;1;1785;1500;1500;1500;1500;1785;1500;1500;1500;1500;1500;1500
Ankh;61;13;168;12;105;9;9;11;8;1913;1512;1843;1500;1500;1989;1523;1843;1500;1500;1500;1500
Ass Eater v1.3 v0.15;441;103;994;169;837;168;32;60;54;1829;1904;1617;1500;1500;1829;1904;1617;1500;1500;1500;1500
Hideo Kojima;26;5;46;4;36;13;3;0;1;1600;1544;1500;1500;1500;1600;1544;1500;1500;1500;1500;1500
Punished'Venom'Retard;62;0;4;6;27;2;0;1;4;1434;1370;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
Rexed;9;0;18;6;28;4;2;0;0;1500;1451;1500;1500;1500;1500;1451;1500;1500;1500;1500;1500
washing machine;19;0;48;2;26;1;4;0;1;1442;1507;1500;1500;1500;1500;1507;1500;1500;1500;1500;1500
retard;4568;147;1396;514;2100;212;79;350;167;1413;1420;1261;1500;1463;1544;1504;1500;1500;1512;1500;1500
