Chinese Balloon;knuckles/3|gruntilda/11|banjo/1
yeor ugleh;peppino/10|gum/3
pissassasin;ecco/4|drybonerc/1
Blessed is the Christ;aniki/1|prinny/16|918volt/22|arrowhead/20|nitroman/6|megamancero/21|kaneda/116|mothmansmt/1|copyx/3|sparkster/86|darkmetaknight/17
Cloudy;flonne/20|pleinair/29|amy/20|etna/620
no way fag;dantekrt/59
Vahalian;sonic/1
Garegga4;pepsiman/1|whisper/1|blinx/1|knuckles/1
SNEED (OP);eggr/61
sciz;metalsonic/1
Vegit;mmvolnutt/2|mecha/1102|brownbricks/2
ToMareOmo;flipnote-frog/2|courage/2|drybonerc/1|mona/1|frog_in_a_car/3
Reshii;sonic/2|peppino/2
retar;kino/4|sonic/4|yamiyugien/3
bad at pings;aosthrobotnik/3|kingdeedeedee/11|issac/2
MotoBugger;spamtonneo/22|ctm/15|sdhornet/4|vicvipert301/3|tf2-soldier/3|dodongos/6|thwomp/10|issac/67|peppino/98|motobug/66|superhangon/9|heavy/62|jevil/31|mk64mario/39|morshu/16|shadow/1|goku/1|brownbricks/1|pacman/11|joeywheeler/7|grotesquesteve/1|garfield/14|caterkiller/4|hotel/4|eggman/1|klonoa_lunatea/7|superluigi/99|sonic/9|drybonerc/4|tf2-scout/1|srb2modern/2|supermario/74|lww_wario/30|johnward/8|funky_kong/8|gceara/17|waluigibike/2
dairychoco;knuckles/19|sdhornet/59|dodongos/5|space/3|crashbandicoot/22|ss13clown/2|aosthrobotnik/1|peppino/1|eggman/3|yiik/2|satam_robotnik/10|shadow/205|ronaldmcdonald/1|goku/1|brownbricks/2|wallacewng/316|tf2-medic/2|sonic/8|moai/1|tails/7|outrun/1|garfield/17|sega_bass_fishin/4|terrycrews/5|piccolo/2|superluigi/17|coldsteel/2|hotel/1|tf2-scout/33|banjo/1|supermario/12|lww_wario/6|marge/3|grotesquesteve/36|gceara/56|the_king/4
-------?;hsien-ko/37|sketchfox/22|knuckles/3|sketchog/21|rosy/7|parappa/25|pleinair/6|sakura/29|fang/9|smug_bird/1|etna/65|jet/1|raboot/101|flonne/20|mecha/11|agent_rouge/8|the_king/61|darkmetaknight/2|morshu/6|sue/6|shadow/3|bigthecat/7|okuu/22|sirpercival/20|bubblun/6|omega/50|blaze/12|miku/18|hotel/1|vector/4|emerl/29|riamu/1|kino/2|tails/1|omochao/37|commando/1|nitroman/1|prinny/12|metalsonic/43|klonoa_lunatea/24|gum/5|sonic/5|drybonerc/5|metal_knuckles/8|sega_bass_fishin/2|chocobo/4|arle/19|signpost/2|cream/1|eggman/10|reimu/1
cancermania;youmukonpaku/370|shadow/1|goku/1
rigged;grotesquesteve/2|arle/94
